Risk Ratio Returns - Mutual fund screener| Mutual Fund Screening and Analysis Tool - Moneycontrol.com,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
DSP Natural Resources and New Energy Fund - Direct Plan - Growth,Direct Plan,Sectoral/Thematic,5,Sectoral/Thematic,15.59,1,1.23,6.66,0.19
LIC MF Infrastructure Fund - Direct Plan - Growth,Direct Plan,Sectoral/Thematic,4,Sectoral/Thematic,16.25,0.89,1.65,8.64,0.3
Invesco India Infrastructure Fund - Direct Plan - Growth,Direct Plan,Sectoral/Thematic,5,Sectoral/Thematic,15.51,0.67,1.64,7.9,0.38
SBI Infrastructure Fund - Direct Plan - Growth,Direct Plan,Sectoral/Thematic,4,Sectoral/Thematic,11.74,0.73,1.85,6.86,0.3
Sundaram Consumption Fund - Direct Plan - Growth,Direct Plan,Sectoral/Thematic,5,Sectoral/Thematic,10.67,0.86,1.53,3.25,0.19
Canara Robeco Short Duration Fund - Direct Plan - Growth,Direct Plan,Short Duration Fund,5,Short Duration Fund,0.61,0.78,2.75,0.19,0.02
Sundaram Short Duration Fund - Direct Plan - Growth,Direct Plan,Short Duration Fund,4,Short Duration Fund,0.68,0.75,3.33,0.76,0.03
Kotak Bond Short Term Plan - Direct Plan - Growth,Direct Plan,Short Duration Fund,4,Short Duration Fund,0.73,0.94,3.25,0.52,0.03
LIC MF Short Duration Fund - Direct Plan - Growth,Direct Plan,Short Duration Fund,5,Short Duration Fund,0.66,0.81,3.21,0.58,0.03
Mirae Asset Short Duration Fund - Direct Plan - Growth,Direct Plan,Short Duration Fund,4,Short Duration Fund,0.66,0.84,3.4,0.63,0.03
TRUSTMF Short Duration Fund - Direct Plan - Growth,Direct Plan,Short Duration Fund,4,Short Duration Fund,0.69,0.86,2.77,0.27,0.02
Bandhan Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,5,Small Cap Fund,14.4,0.9,1.91,8.14,0.3
Axis Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,4,Small Cap Fund,11.83,0.7,1.58,2.55,0.27
Edelweiss Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,4,Small Cap Fund,13.19,0.79,1.61,3.12,0.27
ITI Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,5,Small Cap Fund,15.68,0.94,1.68,4.7,0.28
Invesco India Smallcap Fund - Direct - Growth,Direct Plan,Small Cap Fund,4,Small Cap Fund,14.3,0.88,1.75,6.2,0.29
Nippon India Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,4,Small Cap Fund,13.7,0.83,1.69,3.85,0.28
Tata Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,4,Small Cap Fund,13.94,0.81,1.54,2.84,0.27
Bank of India Ultra Short Duration Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,4,Ultra Short Duration Fund,0.17,0.14,6.95,0.9,0.09
Canara Robeco Ultra Short Term Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,4,Ultra Short Duration Fund,0.17,0.85,7.41,-0.04,0.02
PGIM India Ultra Short Duration Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,4,Ultra Short Duration Fund,0.17,0.79,8.92,0.25,0.02
DSP Ultra Short Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,4,Ultra Short Duration Fund,0.21,0.83,8.01,0.38,0.02
HSBC Ultra Short Duration Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,5,Ultra Short Duration Fund,0.17,0.07,9.09,1.43,0.22
Mirae Asset Ultra Short Duration Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,4,Ultra Short Duration Fund,0.17,0.07,9.98,1.53,0.25
Motilal Oswal Ultra Short Term Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,5,Ultra Short Duration Fund,0.13,0.4,4.66,-0.11,0.02
WhiteOak Capital Ultra Short Duration Fund - Direct Plan - Growth,Direct Plan,Ultra Short Duration Fund,4,Ultra Short Duration Fund,0.16,0.76,8.53,0.15,0.02
Axis Value Fund - Direct Plan - Growth,Direct Plan,Value Fund,5,Value Fund,12.01,0.96,1.78,6.79,0.22
DSP Value Fund - Direct Plan - Growth,Direct Plan,Value Fund,5,Value Fund,8.14,-,1.97,-,-
ICICI Prudential Value Fund - Direct Plan - Growth,Direct Plan,Value Fund,4,Value Fund,9.38,0.75,1.95,6.91,0.24
Nippon India Value Fund - Direct Plan - Growth,Direct Plan,Value Fund,4,Value Fund,12.73,1.04,1.62,4.77,0.2
